club_id,club,division,venue,asset,bytes,sha256,source_pack
caldria-1-marina-serene,Marina Serene,Caldrian Prima Corona,Marina Serene Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-marina-serene.webp,323384,edb2e33a96cee2febc60ccef378599ab3fe4682e0999a7600a761022714f56ea,caldria-stadiums
caldria-1-monte-azzera,Monte Azzera,Caldrian Prima Corona,Monte Azzera Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-monte-azzera.webp,348966,8ccc66af532cc0b825079536663baa08a888f7d24fa4326f62c04942130adc1c,caldria-stadiums
caldria-1-neravalle,Neravalle,Caldrian Prima Corona,Neravalle Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-neravalle.webp,375894,d49a20101e8dda536792f446e03739e99f7749f01801f6c1f953d8dea6ca2203,caldria-stadiums
caldria-1-palazzo-verde,Palazzo Verde,Caldrian Prima Corona,Palazzo Verde Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-palazzo-verde.webp,392240,691dd3994eb94e30f0b95a24697a9d79979d7fcd49d051ba5029c9b5a4c6329c,caldria-stadiums
caldria-1-portocielo,Portocielo,Caldrian Prima Corona,Portocielo Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-portocielo.webp,370756,4d732bf7a847e143f61e0eac7bbebfb2d1433c2c363283b2437b80870da6f032,caldria-stadiums
caldria-1-rosavera,Rosavera,Caldrian Prima Corona,Rosavera Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-rosavera.webp,321530,98f9ea09595d5ae51f2b3f73d8c40a70d3cbde309e0fd13597610cc0119b85e8,caldria-stadiums
caldria-1-san-virello,San Virello,Caldrian Prima Corona,San Virello Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-san-virello.webp,410622,a92f185afa043521a8aa965e00c3b4a01726f53ee07957f41fed93b139a7f9f5,caldria-stadiums
caldria-1-solenza,Solenza,Caldrian Prima Corona,Solenza Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-solenza.webp,417748,38f1b4a08d424a673467825ac94589acaebc5680ea126dd1875534148baeba98,caldria-stadiums
caldria-1-torre-lucente,Torre Lucente,Caldrian Prima Corona,Torre Lucente Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-torre-lucente.webp,385622,1ad1a5ba524d71afb6da562b6a39bfcd7d935b4d156311fecb1ba6391ad6f2c9,caldria-stadiums
caldria-1-valdoro,Valdoro,Caldrian Prima Corona,Valdoro Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-valdoro.webp,380784,cc6744f2e21fe18156246317d240cba211af238e57b7a6cf209069bbc88882c5,caldria-stadiums
caldria-1-ventomare,Ventomare,Caldrian Prima Corona,Ventomare Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-ventomare.webp,272298,61e78809597507cc49433a81891e6c4590eee5c231324ddc496c8923d88c9b39,caldria-stadiums
caldria-2-borgo-sera,Borgo Sera,Caldrian Serie Argento,Borgo Sera Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-borgo-sera.webp,291180,98e362fb59553ffdfb37f91ea69c2a54c4ab5b8b1d8ea096ad1f67f37bd934bf,caldria-stadiums
caldria-2-cala-vesta,Cala Vesta,Caldrian Serie Argento,Cala Vesta Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-cala-vesta.webp,305198,f02e2c838094477b49e77d221b1e96a247782c2134c4f479442a54c3a04f4beb,caldria-stadiums
caldria-2-carmina-vecchia,Carmina Vecchia,Caldrian Serie Argento,Carmina Vecchia Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-carmina-vecchia.webp,316548,84de83172ed595eb49f0b3b4599147057599ea87b4ec1bbd2de1f54e411e1c75,caldria-stadiums
caldria-2-castello-rosso,Castello Rosso,Caldrian Serie Argento,Castello Rosso Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-castello-rosso.webp,327770,4f7532e52f8d2adc6de8664dae84a6b5c10fcf015a0811dd9c2ac30cf02c441f,caldria-stadiums
caldria-2-fontana-alta,Fontana Alta,Caldrian Serie Argento,Fontana Alta Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-fontana-alta.webp,315248,33d6e15216dbff714c4794b1372a76ecbef24c4b7b5889e069ac2cc3024e8487,caldria-stadiums
caldria-2-isola-vendra,Isola Vendra,Caldrian Serie Argento,Isola Vendra Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-isola-vendra.webp,275912,9b9a970a085e0d8614a10b2f06fc7aa624da6ebf5fbbf04d601cb04860ccc12d,caldria-stadiums
caldria-2-lucenna-alta,Lucenna Alta,Caldrian Serie Argento,Lucenna Alta Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-lucenna-alta.webp,346954,f36c5a65800eaefabd032d57132381a60aa816963fbc7d495969e27c661afc08,caldria-stadiums
caldria-2-monteluce,Monteluce,Caldrian Serie Argento,Monteluce Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-monteluce.webp,295596,c7dd2384482996fb27595605a56ecc7759cc6ac569ce3fadea9d9a87d4c1511d,caldria-stadiums
caldria-2-piana-doro,Piana d'Oro,Caldrian Serie Argento,Piana d'Oro Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-piana-doro.webp,320008,541ec897c5f1a28a3c55532aa818cf1843b22cae185bb71371b5ae028cf6f262,caldria-stadiums
caldria-2-porto-bellano,Porto Bellano,Caldrian Serie Argento,Porto Bellano Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-porto-bellano.webp,303396,4dff8c63e11809afdb31acf7306db07729d6845c0906d01254f0a6d9b91a2473,caldria-stadiums
caldria-2-porto-nerello,Porto Nerello,Caldrian Serie Argento,Porto Nerello Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-porto-nerello.webp,255926,e0c618d556b9227811acc892a782e9821e0be6ac6804394acf07b948157fa76d,caldria-stadiums
caldria-2-rocca-merida,Rocca Merida,Caldrian Serie Argento,Rocca Merida Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-rocca-merida.webp,289922,a113bb8c47350254edb967500707239a89ecbb9551af5a4d2039f953a90e7a9d,caldria-stadiums
caldria-2-santa-mirella,Santa Mirella,Caldrian Serie Argento,Santa Mirella Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-santa-mirella.webp,335722,42fc3120fec722bd424dc8aac6610fe4c9a0dcc50dc5e8922c8073c72c60ff83,caldria-stadiums
caldria-2-selvarosa,Selvarosa,Caldrian Serie Argento,Selvarosa Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-selvarosa.webp,264540,5197726796a74fc61e1f63abfb3ef2b7df7c128fba63801639c89203165a2606,caldria-stadiums
caldria-2-seravento,Seravento,Caldrian Serie Argento,Seravento Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-seravento.webp,338358,39996481ddd5057e06fae8e6362fccd240266cc22792111b3c23e29792065166,caldria-stadiums
caldria-2-torvanni-blu,Torvanni Blu,Caldrian Serie Argento,Torvanni Blu Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-torvanni-blu.webp,286436,1cb5fb58322697b9f525118c383f088e295ade1cbb907666b7e79b1f0b17f861,caldria-stadiums
caldria-2-valle-corina,Valle Corina,Caldrian Serie Argento,Valle Corina Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-valle-corina.webp,329688,b09d0aa19e0b8c8fcedcb43bd96e8f426c8828c4836a1c1b6560a992c167dda2,caldria-stadiums
caldria-2-vallo-terenza,Vallo Terenza,Caldrian Serie Argento,Vallo Terenza Civic Ground,assets/quidditch-engine/arenas/clubs/caldria-2-vallo-terenza.webp,379596,1818a6ca4d78b35f9e9adb4a3be7588a79515c7a40f8421ba07aad7d8b1aedb4,caldria-stadiums
caldria-3-alto-carmino,Alto Carmino,Caldrian Lega Terza,Alto Carmino Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-alto-carmino.webp,364036,3903b23a2880e93c13a57b92bf49e258bdb7e54396331b09ec8fba5ed1d6eb5c,caldria-stadiums
caldria-3-bellacosta-nord,Bellacosta Nord,Caldrian Lega Terza,Bellacosta Nord Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-bellacosta-nord.webp,321052,b382b6bdf1f813ef14fd6e8ee9eca97e5b36557d0824714f2f6e201434167c23,caldria-stadiums
caldria-3-borgo-lira,Borgo Lira,Caldrian Lega Terza,Borgo Lira Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-borgo-lira.webp,312824,17dd9816fd2287ceb6a1ed3a0ecd019fef9abaee8e902b50212ddebdc933a01a,caldria-stadiums
caldria-3-campo-lucente,Campo Lucente,Caldrian Lega Terza,Campo Lucente Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-campo-lucente.webp,306314,735f5961cf0cd0de34264b6499bd37f8e8a14c23d067503f87c07a476115ca12,caldria-stadiums
caldria-3-castello-nera,Castello Nera,Caldrian Lega Terza,Castello Nera Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-castello-nera.webp,224242,579e80a6d2355f1fdf95de5449729333f0086d7b551c4e22468a69fd50e38084,caldria-stadiums
caldria-3-colleverde,Colleverde,Caldrian Lega Terza,Colleverde Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-colleverde.webp,354898,92403c130f911816209a5551ac40ba759a8b66397bf03c10b0d6eb3d6a67e37e,caldria-stadiums
caldria-3-marina-orsa,Marina Orsa,Caldrian Lega Terza,Marina Orsa Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-marina-orsa.webp,231636,0c3f9c8b514d59c98c27ee169dabe47c28dfbeb1fb7118442967a0687a45fb4e,caldria-stadiums
caldria-3-monte-cervo,Monte Cervo,Caldrian Lega Terza,Monte Cervo Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-monte-cervo.webp,332132,64e133cf7f0ff246b5fdd28538e82b1575a2f603bf9a872ab9c472e82d8bc754,caldria-stadiums
caldria-3-muro-dargento,Muro d'Argento,Caldrian Lega Terza,Muro d'Argento Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-muro-dargento.webp,270908,1f3a22bab8b8e7f99273ea3e16231e72021fc8410db905c84fc3ca22e6861833,caldria-stadiums
caldria-3-ordelia-marina,Ordelia Marina,Caldrian Lega Terza,Ordelia Marina Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-ordelia-marina.webp,271688,bbcc6bd0c70573ba0ec4a2258e1bf6b3ce088e17679334337a0c8458c3061717,caldria-stadiums
caldria-3-ponte-calessa,Ponte Calessa,Caldrian Lega Terza,Ponte Calessa Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-ponte-calessa.webp,356008,2008b145a5d53f698630b056148a97746c36cda74496dc324557ba1747d4db22,caldria-stadiums
caldria-3-porto-fiamma,Porto Fiamma,Caldrian Lega Terza,Porto Fiamma Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-porto-fiamma.webp,296356,486160fa285f58c6c505e26655b0c542682481f33b6617a46a34c39b1bc503ec,caldria-stadiums
caldria-3-san-torano,San Torano,Caldrian Lega Terza,San Torano Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-san-torano.webp,334636,aeb28f5b94a75b0ceb66f7a830cf1368245ed7aa1cf31be70f6fcb8411493290,caldria-stadiums
caldria-3-serravino-est,Serravino Est,Caldrian Lega Terza,Serravino Est Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-serravino-est.webp,286450,92ec2e3afcc43d52622a1c570557ffc93cd3768353f790b05ff02e6c53a26815,caldria-stadiums
caldria-3-torre-bianca,Torre Bianca,Caldrian Lega Terza,Torre Bianca Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-torre-bianca.webp,253382,bdce369f2e1e8741423e7915e0a18db955ccdad7c2a94dcaab49736bde340eca,caldria-stadiums
caldria-3-valle-stella,Valle Stella,Caldrian Lega Terza,Valle Stella Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-valle-stella.webp,264462,29c4cf78b371be8f338d678798c4a71b118aea797760d008641070676590555b,caldria-stadiums
caldria-3-vespara-uno,Vespara Uno,Caldrian Lega Terza,Vespara Uno Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-vespara-uno.webp,261610,f06373d78b9d95c25ccaa2b7deb3a3e532a370c282bb030345cfa18e20cb2a9c,caldria-stadiums
caldria-3-vignavera,Vignavera,Caldrian Lega Terza,Vignavera Terza Campo,assets/quidditch-engine/arenas/clubs/caldria-3-vignavera.webp,403836,19fcdf2c730cbd69ebad5e96840179b7c208dd315d1ead560868fd593e481c97,caldria-stadiums
caldria-4-bellamura,Bellamura,Caldrian Campionato Popolare,Bellamura Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-bellamura.webp,338580,aedd5cb1371b8faf12131fac9d2d510acb4ebbaa4379cde72f52fd73ff8b0aaa,caldria-stadiums
caldria-4-borgo-nove,Borgo Nove,Caldrian Campionato Popolare,Borgo Nove Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-borgo-nove.webp,360686,a05527fa9d9a883cce64d67bb55f7b4ba93af151ec306666697bc71b95445b4d,caldria-stadiums
caldria-4-cala-fiora,Cala Fiora,Caldrian Campionato Popolare,Cala Fiora Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-cala-fiora.webp,272376,6a333a78de7ca874241f0d32eab70c7d31c2e4260ac57ba23614186a7e6f0f81,caldria-stadiums
caldria-4-campo-dambra,Campo d'Ambra,Caldrian Campionato Popolare,Campo d'Ambra Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-campo-dambra.webp,292990,c4316d899d93e2a9537a76a716c101374741a6c0e47de388e0285f7f4f1fa223,caldria-stadiums
caldria-4-carmina-bassa,Carmina Bassa,Caldrian Campionato Popolare,Carmina Bassa Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-carmina-bassa.webp,282174,396f8b9532dec4875ebae1b3a531345f13be9071e1210a0cdd7b72ea49c718a2,caldria-stadiums
caldria-4-isola-rossa,Isola Rossa,Caldrian Campionato Popolare,Isola Rossa Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-isola-rossa.webp,298596,c323b4d568901587e2ac6e2c55613a33ba6eb0354ffabcb5f3cef0e6d8980c5b,caldria-stadiums
caldria-4-lucenza-sud,Lucenza Sud,Caldrian Campionato Popolare,Lucenza Sud Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-lucenza-sud.webp,290362,8916f825be46c673d6d2ceeecdd718b53d21c3505a36c5a42f1675ff22e9fd6e,caldria-stadiums
caldria-4-monte-santi,Monte Santi,Caldrian Campionato Popolare,Monte Santi Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-monte-santi.webp,317814,67067a9785f5771aa3941d5699da235f11840c124d2346bb6320a2953bc0766e,caldria-stadiums
caldria-4-montenera,Montenera,Caldrian Campionato Popolare,Montenera Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-montenera.webp,237496,209b0feccbaa6c65912e3352ff3d12f8c9f640ce419bf540177e7c2b51ba0acf,caldria-stadiums
caldria-4-ordelia-verde,Ordelia Verde,Caldrian Campionato Popolare,Ordelia Verde Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-ordelia-verde.webp,322994,77a1afd81692b945bb829ba6a9f7528e60ce7ab9061b514629102ffde6b8ea46,caldria-stadiums
caldria-4-porto-lento,Porto Lento,Caldrian Campionato Popolare,Porto Lento Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-porto-lento.webp,281426,ae1f471466cc497bc0442cb77363688117e226f5aa0e9bba1d8a949d10a7726b,caldria-stadiums
caldria-4-riva-sola,Riva Sola,Caldrian Campionato Popolare,Riva Sola Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-riva-sola.webp,352688,cc42abddae4143e05cc6a682a1133e6d11e9e51931a8d8d2586e8902525233d5,caldria-stadiums
caldria-4-rocca-venti,Rocca Venti,Caldrian Campionato Popolare,Rocca Venti Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-rocca-venti.webp,254716,815fdc0387c7ab700b6808466f716f8889a3ffa300fac03f9048c334bd0597cd,caldria-stadiums
caldria-4-santa-corra,Santa Corra,Caldrian Campionato Popolare,Santa Corra Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-santa-corra.webp,327500,a94d3da8a0265d2c8e5a334ccba0ebbca97bef8b4622bacbd01d9ef7020b5b89,caldria-stadiums
caldria-4-serrano-mare,Serrano Mare,Caldrian Campionato Popolare,Serrano Mare Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-serrano-mare.webp,221792,7e9c7f9ffe9b3183c6c4274d6a92f121d0031dc95ea35f076acc899d788c7ee8,caldria-stadiums
caldria-4-torre-piccola,Torre Piccola,Caldrian Campionato Popolare,Torre Piccola Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-torre-piccola.webp,436016,89b5c81ae1b7af32a8665826da01c9fee795d07822547baf3f233bd63b713173,caldria-stadiums
caldria-4-vallecielo,Vallecielo,Caldrian Campionato Popolare,Vallecielo Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-vallecielo.webp,233554,38fdd5025c1ca0b6e178386ab8aa0ec146c1f61d0465eb4100a0388cde3b458b,caldria-stadiums
caldria-4-vescari-ovest,Vescari Ovest,Caldrian Campionato Popolare,Vescari Ovest Popolare Arena,assets/quidditch-engine/arenas/clubs/caldria-4-vescari-ovest.webp,330098,9f4273324faf4621d5b55ad89eaddc9e415657501d3c06d1397b13f52fda7ab7,caldria-stadiums
canto-vale,Canto Vale,Velmora League Two,Plains Ring,assets/quidditch-engine/arenas/clubs/canto-vale.webp,263212,a32eecf8ca91185354fb75515049f93f7ec81a5dd4dda3cdb6825c87abe1f35e,Velmora_League_Two_Stadiums_18_Map_Set(1)
cinderbank,Cinderbank,Repo Sports League,Riftbank,assets/quidditch-engine/arenas/clubs/cinderbank.webp,413880,c1ca51b7cc476d8b883f98120c9594bfab5821be88e6d2a9e57baa96012aa646,Repo_Sports_League_18_Stadiums_First_Pass_v1
cressonne,Cressonne,Velmora League One,Crescent Steps,assets/quidditch-engine/arenas/clubs/cressonne.webp,427462,b2e12282a412d0d8ab2e779fa48e22999f351bb6ee5fca322255a389281e40dd,Velmora_League_One_Stadiums_18_Map_Set(1)
damba-vale,Damba Vale,Velmora League One,Harvest Bowl,assets/quidditch-engine/arenas/clubs/damba-vale.webp,487738,33394e4ae1f0a0c018e76feaa206681a5a68ec50677c4690c0664155159500a0,Velmora_League_One_Stadiums_18_Map_Set(1)
drazh-hollow,Drazh Hollow,Repo Sports League,Hollowdeep,assets/quidditch-engine/arenas/clubs/drazh-hollow.webp,349938,5fe92211256533cd85e9bf183dcefc715c245716015e2bef4b357b15544543ba,Repo_Sports_League_18_Stadiums_First_Pass_v1
dunmarsh,Dunmarsh,Velmora League Two,The Earthworks,assets/quidditch-engine/arenas/clubs/dunmarsh.webp,300918,8df46df60ad9b9a8267e2cb97105f61b46a4add2a8ceb2206bb8f37d0c2b7386,Velmora_League_Two_Stadiums_18_Map_Set(1)
eisbruck,Eisbruck,Velmora Championship,Bridgehold,assets/quidditch-engine/arenas/clubs/eisbruck.webp,357424,b63cce18334283ec16f1ac6430169c64ee168e6485a1009d88266dcd175e9a1a,Velmora_Championship_Stadiums_18_Map_Set(1)
elvara-green,Elvara Green,Velmora League One,The Common,assets/quidditch-engine/arenas/clubs/elvara-green.webp,450376,d9b73cbf3869a769d5234e287f8179dcc36bc92d56a3a545b508759d90c1b684,Velmora_League_One_Stadiums_18_Map_Set(1)
ezuraya-1-akebara,Akebara,Ezurayan Sky League,Akebara Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-akebara.webp,341772,00a74d2435b389a00a78dff100fe4c9ffe72aa03615da236f3d4c0a2fc33ef7b,ezuraya-stadiums
ezuraya-1-aokaze-flight,Aokaze Flight,Ezurayan Sky League,Aokaze Flight Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-aokaze-flight.webp,311166,73b7003e77316c4609605dd85cb0d5d29551fb56a530bf05ebdcc757acb5ba59,ezuraya-stadiums
ezuraya-1-daisora-lanterns,Daisora Lanterns,Ezurayan Sky League,Daisora Lanterns Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-daisora-lanterns.webp,322332,9bc3f58ee6581be35dc60e0a5848adf8f21f9c3f3bd8b97e3e17c4dce385bc9a,ezuraya-stadiums
ezuraya-1-hoshin-bay,Hoshin Bay,Ezurayan Sky League,Hoshin Bay Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-hoshin-bay.webp,308130,1c433729bfe39b48360b13e2992162823544083319a5f6d4aeaacc6979703fa0,ezuraya-stadiums
ezuraya-1-kaishin-crown,Kaishin Crown,Ezurayan Sky League,Kaishin Crown Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-kaishin-crown.webp,368480,3a78b53c8f63ced385f9d67c8871c55275bfec770b58d0eca495eb1794734afd,ezuraya-stadiums
ezuraya-1-kintori,Kintori,Ezurayan Sky League,Kintori Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-kintori.webp,329976,1f67d30972d125a10ae851c9da5fe8aef20bbf51d1972d5bb0126ac8a066f1f5,ezuraya-stadiums
ezuraya-1-kurohana,Kurohana,Ezurayan Sky League,Kurohana Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-kurohana.webp,217774,c6fdc9eb2241a87ad0488b07dbee257fc5d120f1fc9d50345cad8093303a1309,ezuraya-stadiums
ezuraya-1-mizurai,Mizurai,Ezurayan Sky League,Mizurai Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-mizurai.webp,373198,ced1cc6215f590f56b8a0418674fe56d55452689d19261e2418664da735d3a66,ezuraya-stadiums
ezuraya-1-natsukai,Natsukai,Ezurayan Sky League,Natsukai Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-natsukai.webp,307680,746f15bff5996135e3d49ddd0e435cfa34b5aa0cd3a7309cac8cdd5197c9d8da,ezuraya-stadiums
ezuraya-1-orokai,Orokai,Ezurayan Sky League,Orokai Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-orokai.webp,331228,d398508521fb5ac79dd1b8df2805e04391151120f9093cab6771e3981136f059,ezuraya-stadiums
ezuraya-1-rinzu-gate,Rinzu Gate,Ezurayan Sky League,Rinzu Gate Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-rinzu-gate.webp,220596,6a10cdf2df0432c5c1f4201d59f165e626181ab01b7850dabec6ba73bd9fec88,ezuraya-stadiums
ezuraya-1-seiraku-tide,Seiraku Tide,Ezurayan Sky League,Seiraku Tide Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-seiraku-tide.webp,338304,5d11dc2c6aa81139bc9e700f7fa5b201ae9e7cf493d5cd68b6c0e154ba2323b3,ezuraya-stadiums
ezuraya-1-shirogane,Shirogane,Ezurayan Sky League,Shirogane Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-shirogane.webp,284906,953d91bf3bccaf01f7bb4ce51c3e43dd269227c13ae536b7e13a2a5eefe5acc1,ezuraya-stadiums
ezuraya-1-soryu-harbour,Soryu Harbour,Ezurayan Sky League,Soryu Harbour Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-soryu-harbour.webp,272778,947cfac950780f9a2d6be041dddbfd409e8baccd5795b5350444e93fd6b075fa,ezuraya-stadiums
ezuraya-1-takemori,Takemori,Ezurayan Sky League,Takemori Sky Dome,assets/quidditch-engine/arenas/clubs/ezuraya-1-takemori.webp,421006,5f726f9c6f231547e0049f4be2efa49cd35d2e98d45be3b047171da5bac09fc5,ezuraya-stadiums
